Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,RPM,Flight ID
8.06,1.0,9.0,2026-03-14 00:36:07,37.08164,-121.59961,351.0,0.0,200.0,-12.6,,,,,00:36:06,10.7,-1.9,43.0,0.0,208.0,0.1,-0.03,1.0,,-118.0,24.0,0.0,30.15,1329.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,5.0,3.6,,,,,22.0,22.0,+22,22.0,22.0,22.0,22.0,22.0,,,19.0,254.4,,0.6,-10.0,4.998,,,0.654,0.847,0.0,21.1,,,,,,0.0,2026-03-13 17:36:07-07:00
9.06,1.0,10.0,2026-03-14 00:36:08,37.08169,-121.5996,362.0,0.0,200.0,-12.6,,,,,00:36:07,10.7,-1.9,43.0,0.0,207.0,0.1,-0.03,1.0,,-108.0,24.0,0.0,30.15,1329.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,5.0,3.6,,,,,22.0,22.0,+22,22.0,22.0,22.0,22.0,22.0,,,19.0,254.4,,0.6,-10.0,4.998,,,0.653,0.847,0.0,21.0,,,,,,0.0,2026-03-13 17:36:07-07:00
10.06,1.0,10.0,2026-03-14 00:36:09,37.08165,-121.59961,341.0,0.0,200.0,-12.6,,,,,00:36:08,10.7,-1.9,43.0,0.0,205.0,0.1,-0.03,1.0,,-76.0,24.0,0.0,30.15,1322.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,5.0,3.6,,,,,22.0,22.0,+22,22.0,22.0,22.0,22.0,22.0,,,19.0,254.4,,0.6,-10.0,4.998,,,0.654,0.847,0.0,21.0,,,,,,0.0,2026-03-13 17:36:07-07:00
11.06,1.0,10.0,2026-03-14 00:36:10,37.08165,-121.59961,342.0,0.0,200.0,-12.6,,,,,00:36:09,10.7,-1.9,43.0,0.0,205.0,0.1,-0.03,1.0,,-67.0,24.0,0.0,30.15,1322.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,5.0,3.6,,,,,22.0,22.0,+22,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-10.0,4.998,,,0.653,0.847,0.0,21.0,,,,,,0.0,2026-03-13 17:36:07-07:00
12.06,1.0,10.0,2026-03-14 00:36:11,37.08165,-121.59961,343.0,0.0,200.0,-12.6,,,,,00:36:10,10.7,-1.9,43.0,0.0,203.0,0.1,-0.03,1.0,,-82.0,24.0,0.0,30.15,1322.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,5.0,3.6,,,,,22.0,22.0,+22,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-10.0,4.998,,,0.653,0.847,0.0,21.0,,,,,,0.0,2026-03-13 17:36:07-07:00
13.06,1.0,10.0,2026-03-14 00:36:12,37.08165,-121.59961,343.0,0.0,200.0,-12.6,,,,,00:36:11,10.7,-1.9,43.0,0.0,201.0,0.1,-0.03,1.0,,-96.0,24.0,0.0,30.15,1318.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,5.0,3.6,,,,,22.0,22.0,+22,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-10.0,4.998,,,0.653,0.847,0.0,21.0,,,,,,0.0,2026-03-13 17:36:07-07:00
14.06,1.0,10.0,2026-03-14 00:36:13,37.08165,-121.59961,343.0,0.0,200.0,-12.6,,,,,00:36:12,10.7,-1.9,43.0,0.0,199.0,0.1,-0.03,1.0,,-98.0,24.0,0.0,30.15,1318.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,5.0,3.6,,,,,22.0,22.0,+22,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-10.0,4.998,,,0.654,0.847,0.0,21.0,,,,,,0.0,2026-03-13 17:36:07-07:00
15.06,1.0,10.0,2026-03-14 00:36:14,37.08165,-121.59961,343.0,0.0,200.0,-12.6,,,,,00:36:13,10.7,-1.9,43.0,0.0,198.0,0.1,-0.03,1.0,,-88.0,24.0,0.0,30.15,1318.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,5.0,3.6,,,,,22.0,22.0,+22,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.653,0.847,0.0,21.0,,,,,,0.0,2026-03-13 17:36:07-07:00
16.06,1.0,10.0,2026-03-14 00:36:15,37.08165,-121.59961,343.0,0.0,200.0,-12.6,,,,,00:36:14,10.7,-2.0,42.9,0.0,197.0,0.1,-0.03,1.0,,-68.0,24.0,0.0,30.15,1313.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,5.0,3.6,,,,,22.0,22.0,+22,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-9.0,4.998,,,0.654,0.847,0.0,21.0,,,,,,0.0,2026-03-13 17:36:07-07:00
17.06,1.0,10.0,2026-03-14 00:36:16,37.08165,-121.59961,342.0,0.0,200.0,-12.6,,,,,00:36:15,10.7,-2.0,42.9,0.0,196.0,0.1,-0.03,1.0,,-70.0,24.0,0.0,30.15,1313.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,0.0,30.1,0.0,,0.0,0.6,,,35.9,0.0,0.0,-0.7,5.0,3.6,,,,,22.0,22.0,+22,22.0,22.0,22.0,22.0,22.0,,,19.0,254.3,,0.6,-10.0,4.998,,,0.653,0.847,0.0,21.0,,,,,,0.0,2026-03-13 17:36:07-07:00
