Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_Delta_T,OIL_Delta_T,Fuel Flow Integral,Distance Traveled,MPG,CAS (knots),Corrected TAS (knots),Max CHT,Engine Run,Flight ID
6.06,1,8,2026-08-14 15:27:13,37.08168,-121.59961,297.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-2.1,16.0,0.0,194.0,0.0,-0.04,1.0,99.0,-76.0,18.0,0.0,30.01,645.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-26.0,4.998,0.0,0.0,2.003,1.716,0.0,18.9,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,66.02,0.0,66.2,1.7999999999999972,1.6199999999999903,0.0,0.0,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
7.06,1,9,2026-08-14 15:27:14,37.08173,-121.59964,328.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-2.0,16.1,0.0,194.0,0.0,-0.03,1.0,99.0,-94.0,18.0,0.0,30.01,645.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-26.0,4.998,0.0,0.0,2.003,1.716,0.0,18.8,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.84,0.0,66.2,1.7999999999999972,1.4399999999999977,0.0,0.0,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
8.06,1,9,2026-08-14 15:27:15,37.08173,-121.59963,327.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-2.0,16.1,0.0,192.0,0.0,-0.03,1.0,99.0,-104.0,18.0,0.0,30.01,644.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-26.0,4.998,0.0,0.0,2.003,1.716,0.0,18.8,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.84,0.0,66.2,1.7999999999999972,1.4399999999999977,0.0,0.0,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
9.06,1,9,2026-08-14 15:27:16,37.08172,-121.59963,328.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-2.0,16.1,0.0,190.0,0.0,-0.03,1.0,99.0,-108.0,18.0,0.0,30.01,642.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-26.0,4.998,0.0,0.0,2.003,1.715,0.0,18.8,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.84,0.0,66.2,1.7999999999999972,1.4399999999999977,0.0,0.0,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
10.06,1,9,2026-08-14 15:27:17,37.08172,-121.59963,327.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-1.9,16.1,0.0,189.0,0.0,-0.03,1.0,99.0,-115.0,18.0,0.0,30.01,638.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-26.0,4.998,0.0,0.0,2.003,1.716,0.0,18.8,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.84,0.0,66.2,1.7999999999999972,1.4399999999999977,0.0,0.0,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
11.06,1,9,2026-08-14 15:27:18,37.08172,-121.59963,327.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-1.9,16.2,0.0,189.0,0.0,-0.04,1.0,99.0,-75.0,18.0,0.0,30.01,638.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-26.0,4.998,0.0,0.0,2.003,1.716,0.0,18.8,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.84,0.0,66.2,1.7999999999999972,1.4399999999999977,0.0,0.0,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
12.06,1,9,2026-08-14 15:27:19,37.08172,-121.59962,327.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-2.0,16.2,0.0,186.0,0.0,-0.04,1.0,99.0,-102.0,18.0,0.0,30.01,636.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-25.0,4.998,0.0,0.0,2.003,1.716,0.0,18.8,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.84,0.0,66.2,1.7999999999999972,1.4399999999999977,0.0,0.0,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
13.06,1,9,2026-08-14 15:27:20,37.08171,-121.59962,328.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.5,-2.0,16.1,0.0,185.0,0.0,-0.04,1.0,99.0,-98.0,18.0,0.0,30.01,636.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-26.0,4.998,0.0,0.0,2.003,1.716,0.0,18.8,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.84,0.0,66.2,1.7999999999999972,1.4399999999999977,0.0,0.0,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
14.06,1,9,2026-08-14 15:27:21,37.08171,-121.59962,328.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.5,-2.0,16.1,0.0,184.0,0.0,-0.04,1.0,99.0,-95.0,18.0,0.0,30.01,636.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-26.0,4.998,0.0,0.0,2.003,1.716,0.0,18.7,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.66,0.0,66.2,1.7999999999999972,1.259999999999991,0.0,0.0,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
15.06,1,9,2026-08-14 15:27:22,37.08171,-121.59962,328.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.5,-2.0,16.1,0.0,182.0,0.0,-0.04,1.0,99.0,-95.0,18.0,0.0,30.01,631.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-26.0,4.998,0.0,0.0,2.003,1.716,0.0,18.7,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.66,0.0,66.2,1.7999999999999972,1.259999999999991,0.0,0.0,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
16.06,1,9,2026-08-14 15:27:23,37.08171,-121.59962,328.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.5,-2.0,16.1,0.0,180.0,0.0,-0.04,1.0,99.0,-96.0,18.0,0.0,30.01,631.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-25.0,4.998,0.0,0.0,2.003,1.716,0.0,18.7,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.66,0.0,66.2,1.7999999999999972,1.259999999999991,0.0,0.0,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
17.06,1,9,2026-08-14 15:27:24,37.08171,-121.59962,328.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-2.0,16.2,0.0,179.0,0.1,-0.04,1.0,99.0,-96.0,18.0,0.0,30.01,631.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-25.0,4.998,0.0,0.0,2.003,1.716,0.0,18.7,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.66,0.0,66.2,1.7999999999999972,1.259999999999991,0.0,0.0,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
18.06,1,9,2026-08-14 15:27:25,37.08171,-121.59962,328.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.5,-2.0,16.1,0.0,176.0,0.0,-0.04,1.0,99.0,-105.0,18.0,0.0,30.01,626.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-25.0,4.998,0.0,0.0,2.003,1.716,0.0,18.7,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.66,0.0,66.2,1.7999999999999972,1.259999999999991,0.0,0.0,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
19.06,1,9,2026-08-14 15:27:26,37.08171,-121.59962,328.0,0.1,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-2.0,16.1,0.0,176.0,0.0,-0.04,1.0,99.0,-72.0,18.0,0.0,30.01,626.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-25.0,4.998,0.0,0.0,2.003,1.716,0.0,18.7,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.66,0.0,66.2,1.7999999999999972,1.259999999999991,0.0,0.08433333333333333,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
20.06,1,9,2026-08-14 15:27:27,37.08171,-121.59962,327.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-2.0,16.2,0.0,176.0,0.1,-0.04,1.0,99.0,-45.0,18.0,0.0,30.01,626.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-25.0,4.998,0.0,0.0,2.003,1.716,0.0,18.7,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.66,0.0,66.2,1.7999999999999972,1.259999999999991,0.0,0.16866666666666666,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
21.06,1,9,2026-08-14 15:27:28,37.08171,-121.59963,327.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-2.0,16.2,0.0,176.0,0.0,-0.04,1.0,99.0,-21.0,18.0,0.0,30.01,624.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-25.0,4.998,0.0,0.0,2.003,1.715,0.0,18.7,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.66,0.0,66.2,1.7999999999999972,1.259999999999991,0.0,0.16866666666666666,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
22.06,1,9,2026-08-14 15:27:29,37.08171,-121.59963,327.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-2.0,16.2,0.0,176.0,0.0,-0.04,1.0,99.0,-11.0,18.0,0.0,30.01,624.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-25.0,4.998,0.0,0.0,2.003,1.715,0.0,18.7,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.66,0.0,66.2,1.7999999999999972,1.259999999999991,0.0,0.16866666666666666,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
23.06,1,9,2026-08-14 15:27:30,37.08171,-121.59963,327.0,0.1,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-2.0,16.2,0.0,175.0,0.1,-0.04,1.0,99.0,-72.0,18.0,0.0,30.01,624.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-25.0,4.998,0.0,0.0,2.003,1.716,0.0,18.7,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.66,0.0,66.2,1.7999999999999972,1.259999999999991,0.0,0.253,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
24.06,1,9,2026-08-14 15:27:31,37.08171,-121.59963,326.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-2.0,16.2,0.0,173.0,0.1,-0.04,1.0,99.0,-55.0,18.0,0.0,30.01,620.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-25.0,4.998,0.0,0.0,2.003,1.716,0.0,18.7,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.66,0.0,66.2,1.7999999999999972,1.259999999999991,0.0,0.3373333333333333,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
25.06,1,9,2026-08-14 15:27:32,37.08171,-121.59963,326.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-2.0,16.2,0.0,173.0,0.1,-0.04,1.0,99.0,-53.0,18.0,0.0,30.01,620.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-25.0,4.998,0.0,0.0,2.003,1.716,0.0,18.7,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.66,0.0,66.2,1.7999999999999972,1.259999999999991,0.0,0.3373333333333333,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
26.06,1,9,2026-08-14 15:27:33,37.08171,-121.59964,325.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.5,-2.1,16.1,0.0,172.0,0.0,-0.04,1.0,99.0,-25.0,18.0,0.0,30.01,620.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-25.0,4.998,0.0,0.0,2.003,1.716,0.0,18.7,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.66,0.0,66.2,1.7999999999999972,1.259999999999991,0.0,0.3373333333333333,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
27.06,1,9,2026-08-14 15:27:34,37.08171,-121.59964,325.0,0.0,169.2,-12.6,0.0,,0.0,0.0,0.0,10.4,-2.1,16.1,0.0,172.0,0.0,-0.04,1.0,99.0,-29.0,18.0,0.0,30.01,619.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,-0.7,37.3,32.4,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-95.0,254.5,0.0,0.0,-25.0,4.998,0.0,0.0,2.003,1.716,0.0,18.7,0.0,0.0,0.0,,0.0,64.4,66.2,0.0,0.0,0.0,0.0,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.0,0.0,65.66,0.0,66.2,1.7999999999999972,1.259999999999991,0.0,0.3373333333333333,0.0,0.48,0.48,343.4,True,2026-08-14 08:27:13-07:00
