Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,RPM,AVG_CHT (deg C),CHT_Delta_T (deg C),OIL_Delta_T (deg C),OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),AVG_CHT (deg F),CHT_Delta_T (deg F),OIL_Delta_T (deg F),Fuel Flow Integral,Distance Traveled,MPG,Max CHT,Flight ID
4.06,1.0,8.0,2026-02-20 23:42:49,37.08155,-121.59954,358.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.0,-0.9,59.0,0.0,182.0,-0.0,-0.02,+1.0,0.0,-112.0,14.0,0.0,30.11,91.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.5,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.7,53.6,28.4,27.5,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
5.06,1.0,8.0,2026-02-20 23:42:49,37.08155,-121.59955,331.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.0,-1.0,58.9,0.0,180.0,-0.1,-0.02,+1.0,0.0,-115.0,14.0,0.0,30.11,91.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
6.06,1.0,8.0,2026-02-20 23:42:50,37.08155,-121.59955,333.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.0,-1.0,58.9,0.0,178.0,-0.0,-0.02,+1.0,0.0,-121.0,14.0,0.0,30.11,91.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
7.06,1.0,8.0,2026-02-20 23:42:51,37.08155,-121.59955,333.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-0.9,59.0,0.0,176.0,0.0,-0.02,+1.0,0.0,-122.0,14.0,0.0,30.11,89.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
8.06,1.0,8.0,2026-02-20 23:42:52,37.08155,-121.59955,334.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-0.9,59.0,0.0,176.0,-0.0,-0.02,+1.0,0.0,-87.0,14.0,0.0,30.11,89.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
9.06,1.0,8.0,2026-02-20 23:42:53,37.08155,-121.59955,334.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-0.9,59.0,0.0,174.0,-0.0,-0.02,+1.0,0.0,-82.0,14.0,0.0,30.11,87.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
10.06,1.0,8.0,2026-02-20 23:42:54,37.08155,-121.59955,334.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.0,-0.9,59.0,0.0,174.0,-0.0,-0.02,+1.0,0.0,-45.0,14.0,0.0,30.11,87.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
11.06,1.0,8.0,2026-02-20 23:42:55,37.08155,-121.59955,334.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.0,-0.9,58.9,0.0,174.0,-0.0,-0.02,+1.0,0.0,-21.0,14.0,0.0,30.11,87.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
12.06,1.0,8.0,2026-02-20 23:42:56,37.08155,-121.59956,334.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-0.9,58.9,0.0,172.0,-0.0,-0.02,+1.0,0.0,-42.0,14.0,0.0,30.11,86.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
13.06,1.0,8.0,2026-02-20 23:42:57,37.08155,-121.59956,334.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-0.9,58.9,0.0,170.0,-0.0,-0.02,+1.0,0.0,-65.0,14.0,0.0,30.11,86.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
14.06,1.0,8.0,2026-02-20 23:42:58,37.08155,-121.59956,334.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-0.9,58.9,0.0,169.0,-0.0,-0.02,+1.0,0.0,-78.0,14.0,0.0,30.11,86.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
15.06,1.0,8.0,2026-02-20 23:42:59,37.08155,-121.59956,333.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-0.9,58.9,0.0,168.0,-0.0,-0.02,+1.0,0.0,-72.0,14.0,0.0,30.11,80.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
16.06,1.0,8.0,2026-02-20 23:43:00,37.08155,-121.59956,333.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-0.9,58.8,0.0,167.0,-0.0,-0.02,+1.0,0.0,-75.0,14.0,0.0,30.11,80.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
17.06,1.0,8.0,2026-02-20 23:43:01,37.08155,-121.59956,333.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-1.0,58.8,0.0,166.0,-0.0,-0.02,+1.0,0.0,-59.0,14.0,0.0,30.11,80.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
18.06,1.0,8.0,2026-02-20 23:43:02,37.08156,-121.59956,332.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-1.0,58.8,0.0,166.0,-0.0,-0.02,+1.0,0.0,-32.0,14.0,0.0,30.11,77.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
19.06,1.0,8.0,2026-02-20 23:43:03,37.08156,-121.59956,332.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-1.0,58.8,0.0,166.0,-0.0,-0.02,+1.0,0.0,-12.0,14.0,0.0,30.11,77.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.2,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
20.06,1.0,8.0,2026-02-20 23:43:04,37.08156,-121.59956,331.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-0.9,58.8,0.0,166.0,-0.1,-0.02,+1.0,0.0,10.0,14.0,0.0,30.11,77.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.3,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
21.06,1.0,8.0,2026-02-20 23:43:05,37.08156,-121.59956,331.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-1.0,58.8,0.0,166.0,-0.0,-0.02,+1.0,0.0,15.0,14.0,0.0,30.11,79.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.3,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
22.06,1.0,8.0,2026-02-20 23:43:06,37.08156,-121.59956,330.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-1.0,58.8,0.0,166.0,-0.0,-0.02,+1.0,0.0,15.0,14.0,0.0,30.11,79.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.3,1.6,0.7,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,53.6,53.6,53.6,53.6,53.6,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
23.06,1.0,8.0,2026-02-20 23:43:07,37.08156,-121.59957,329.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-1.0,58.8,0.0,166.0,-0.0,-0.02,+1.0,0.0,30.0,14.0,0.0,30.11,79.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.3,1.6,0.7,0.0,0.0,0.0,0.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,55.4,53.6,55.4,53.6,55.4,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
24.06,1.0,8.0,2026-02-20 23:43:08,37.08156,-121.59957,328.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-1.0,58.8,0.0,166.0,-0.0,-0.02,+1.0,0.0,17.0,14.0,0.0,30.11,87.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.3,1.6,0.7,0.0,0.0,0.0,0.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,55.4,53.6,55.4,53.6,55.4,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
25.06,1.0,8.0,2026-02-20 23:43:09,37.08156,-121.59957,327.0,0.0,160.9,-12.6,0.0,,0.0,0.0,0.0,11.1,-1.0,58.8,0.0,166.0,-0.0,-0.02,+1.0,0.0,7.0,14.0,0.0,30.11,87.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,-0.3,1.6,0.7,0.0,0.0,0.0,0.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,0.0,0.0,13.0,254.5,0.0,0.0,-10.0,4.998,0.0,0.0,0.663,0.792,0.0,11.4,0.0,0.0,0.0,,0.0,0.0,12.0,-2.0,-2.5999999999999996,57.2,51.8,32.0,32.0,32.0,32.0,53.6,55.4,53.6,55.4,53.6,55.4,53.6,55.4,32.0,32.0,52.52,53.6,28.4,27.32,0.0,0.0,0.0,420.8,2026-02-20 15:42:49-08:00
