Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,RPM,AVG_CHT,CHT_Delta_T (deg C),OIL_Delta_T (deg C),OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),CHT_Delta_T (deg F),OIL_Delta_T (deg F),Fuel Flow Integral,Distance Traveled,MPG,Flight ID
0.06,1.0,8.0,2026-02-01 00:45:19,37.08159,-121.59958,309.0,0.0,231.1,-12.7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,0.0,0.0,0.0,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-21.0,-21.0,69.8,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,,32.0,32.0,32.0,32.0,32.0,32.0,32.0,-5.799999999999997,-5.799999999999997,0.0,0.0,0.0,2026-01-31 16:45:19-08:00
1.06,1.0,8.0,2026-02-01 00:45:20,37.08159,-121.59958,310.0,0.0,231.1,-12.6,0.0,,0.0,0.0,0.0,10.5,-2.1,53.0,0.0,139.0,-0.0,-0.04,1.0,0.0,-115.0,21.0,0.0,30.44,876.0,0.0,0.0,241.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,0.0,0.0,-0.5,0.9,0.3,0.0,0.0,0.0,0.0,18.0,19.0,18.0,19.0,18.0,19.0,18.0,19.0,0.0,0.0,-6.0,254.4,0.0,0.8,-8.0,4.998,0.0,0.0,0.654,0.791,0.0,56.5,0.0,0.0,0.0,,0.0,0.0,18.0,-3.0,35.5,69.8,32.0,32.0,32.0,32.0,32.0,64.4,66.2,64.4,66.2,64.4,66.2,64.4,66.2,32.0,32.0,133.7,26.6,95.9,0.0,0.0,0.0,2026-01-31 16:45:19-08:00
2.06,1.0,8.0,2026-02-01 00:45:21,37.08159,-121.59958,311.0,0.0,231.1,-12.6,0.0,,0.0,0.0,0.0,10.5,-2.1,53.1,0.0,138.0,-0.0,-0.04,1.0,0.0,-82.0,21.0,0.0,30.44,876.0,0.0,0.0,241.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,0.0,0.0,-0.5,0.9,0.3,0.0,0.0,0.0,0.0,18.0,19.0,18.0,19.0,18.0,19.0,18.0,19.0,0.0,0.0,-6.0,254.4,0.0,0.8,-8.0,4.998,0.0,0.0,0.654,0.791,0.0,56.5,0.0,0.0,0.0,,0.0,0.0,18.0,-3.0,35.5,69.8,32.0,32.0,32.0,32.0,32.0,64.4,66.2,64.4,66.2,64.4,66.2,64.4,66.2,32.0,32.0,133.7,26.6,95.9,0.0,0.0,0.0,2026-01-31 16:45:19-08:00
3.06,1.0,8.0,2026-02-01 00:45:22,37.08158,-121.59958,311.0,0.0,231.1,-12.6,0.0,,0.0,0.0,0.0,10.6,-2.1,53.1,0.0,137.0,0.0,-0.04,1.0,0.0,-84.0,21.0,0.0,30.44,876.0,0.0,0.0,241.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,0.0,0.0,-0.5,0.9,0.3,0.0,0.0,0.0,0.0,18.0,19.0,18.0,19.0,18.0,19.0,18.0,19.0,0.0,0.0,-6.0,254.4,0.0,0.8,-8.0,4.998,0.0,0.0,0.654,0.803,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,18.0,-3.0,-21.0,69.8,32.0,32.0,32.0,32.0,32.0,64.4,66.2,64.4,66.2,64.4,66.2,64.4,66.2,32.0,32.0,32.0,26.6,-5.799999999999997,0.0,0.0,0.0,2026-01-31 16:45:19-08:00
4.06,1.0,8.0,2026-02-01 00:45:24,37.08158,-121.59958,313.0,0.0,231.1,-12.6,0.0,,0.0,0.0,0.0,10.6,-2.1,53.1,0.0,135.0,0.0,-0.04,1.0,0.0,-62.0,21.0,0.0,30.44,872.0,0.0,0.0,241.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,0.0,0.0,-0.5,0.9,0.3,0.0,0.0,0.0,0.0,18.0,19.0,18.0,19.0,18.0,19.0,18.0,19.0,0.0,0.0,-6.0,254.4,0.0,0.8,-8.0,4.998,0.0,0.0,0.654,0.8,0.0,17.3,0.0,0.0,0.0,,0.0,0.0,18.0,-3.0,-3.6999999999999993,69.8,32.0,32.0,32.0,32.0,32.0,64.4,66.2,64.4,66.2,64.4,66.2,64.4,66.2,32.0,32.0,63.14,26.6,25.34,0.0,0.0,0.0,2026-01-31 16:45:19-08:00
5.06,1.0,8.0,2026-02-01 00:45:24,37.08158,-121.59959,314.0,0.0,231.1,-12.6,0.0,,0.0,0.0,0.0,10.6,-2.1,53.1,0.0,135.0,0.0,-0.04,1.0,0.0,-72.0,21.0,0.0,30.44,872.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,30.2,0.0,0.0,0.0,0.8,0.0,0.0,37.4,0.0,0.0,-0.5,0.9,0.3,0.0,0.0,0.0,0.0,18.0,19.0,18.0,19.0,18.0,19.0,18.0,19.0,0.0,0.0,-6.0,254.4,0.0,0.8,-8.0,4.998,0.0,0.0,0.653,0.797,0.0,17.3,0.0,0.0,0.0,,0.0,0.0,18.0,-3.0,-3.6999999999999993,69.8,62.6,32.0,32.0,32.0,32.0,64.4,66.2,64.4,66.2,64.4,66.2,64.4,66.2,32.0,32.0,63.14,26.6,25.34,0.0,0.0,0.0,2026-01-31 16:45:19-08:00
6.06,1.0,8.0,2026-02-01 00:45:25,37.08158,-121.59959,316.0,0.0,231.1,-12.6,0.0,,0.0,0.0,0.0,10.6,-2.2,53.1,0.0,133.0,0.0,-0.04,1.0,0.0,-52.0,21.0,0.0,30.44,872.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,30.2,0.0,0.0,0.0,0.8,0.0,0.0,37.4,0.0,0.0,-0.5,0.9,0.3,0.0,0.0,0.0,0.0,18.0,19.0,18.0,19.0,18.0,19.0,19.0,19.0,0.0,0.0,-6.0,254.4,0.0,0.8,-8.0,4.998,0.0,0.0,0.653,0.806,0.0,17.3,0.0,0.0,0.0,,0.0,0.0,18.25,-2.75,-3.6999999999999993,69.8,62.6,32.0,32.0,32.0,32.0,64.4,66.2,64.4,66.2,64.4,66.2,66.2,66.2,32.0,32.0,63.14,27.05,25.34,0.0,0.0,0.0,2026-01-31 16:45:19-08:00
7.06,1.0,8.0,2026-02-01 00:45:26,37.08158,-121.59959,317.0,0.0,231.1,-12.6,0.0,,0.0,0.0,0.0,10.7,-2.2,53.0,0.0,133.0,0.0,-0.04,1.0,0.0,-52.0,21.0,0.0,30.44,868.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,30.2,0.0,0.0,0.0,0.8,0.0,0.0,37.4,0.0,0.0,-0.5,0.9,0.3,0.0,0.0,0.0,0.0,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-6.0,254.4,0.0,0.8,-8.0,4.998,0.0,0.0,0.654,0.8,0.0,17.3,0.0,0.0,0.0,,0.0,0.0,18.5,-2.5,-3.6999999999999993,69.8,62.6,32.0,32.0,32.0,32.0,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,32.0,32.0,63.14,27.5,25.34,0.0,0.0,0.0,2026-01-31 16:45:19-08:00
8.06,1.0,8.0,2026-02-01 00:45:27,37.08158,-121.59959,319.0,0.0,231.1,-12.6,0.0,,0.0,0.0,0.0,10.7,-2.2,53.0,0.0,133.0,-0.0,-0.04,1.0,0.0,-50.0,21.0,0.0,30.44,868.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,30.2,0.0,0.0,0.0,0.8,0.0,0.0,37.4,0.0,0.0,-0.6,0.9,0.3,0.0,0.0,0.0,0.0,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-6.0,254.4,0.0,0.8,-8.0,4.998,0.0,0.0,0.654,0.818,0.0,17.3,0.0,0.0,0.0,,0.0,0.0,18.5,-2.5,-3.6999999999999993,69.8,62.6,32.0,32.0,32.0,32.0,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,32.0,32.0,63.14,27.5,25.34,0.0,0.0,0.0,2026-01-31 16:45:19-08:00
9.06,1.0,8.0,2026-02-01 00:45:28,37.08158,-121.59959,320.0,0.0,231.1,-12.6,0.0,,0.0,0.0,0.0,10.7,-2.3,52.9,0.0,130.0,-0.0,-0.04,1.0,0.0,-88.0,21.0,0.0,30.44,868.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,30.2,0.0,0.0,0.0,0.8,0.0,0.0,37.4,0.0,0.0,-0.6,0.9,0.3,0.0,0.0,0.0,0.0,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,-6.0,254.4,0.0,0.8,-8.0,4.998,0.0,0.0,0.654,0.804,0.0,17.3,0.0,0.0,0.0,,0.0,0.0,18.5,-2.5,-3.6999999999999993,69.8,62.6,32.0,32.0,32.0,32.0,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,32.0,32.0,63.14,27.5,25.34,0.0,0.0,0.0,2026-01-31 16:45:19-08:00
